SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
4.8,3.3,1.4,0.2,Iris-setosa
4.8,2000,1.4,0.2,Iris-setosa
4.8,3.3,1.4,0.2,Iris-setosa
4.8,3.3,1.4,0.2,Iris-setosa
4.8,3.3,1.4,0.2,Iris-setosa
4.8,3.3,1.4,0.2,Iris-setosa
4.8,3.3,1.4,0.2,Iris-setosa
4.8,3.3,1.4,0.2,Iris-setosa
4.8,3.3,1.4,0.2,Iris-setosa
4.8,1500,1.5,0.4,Iris-setosa
4.8,3.3,1.5,0.4,Iris-setosa
4.8,3.3,1.5,0.4,Iris-setosa
4.8,3.3,1.5,0.4,Iris-setosa
4.8,3.3,1.5,0.4,Iris-setosa
4.8,3.3,1.5,0.4,Iris-setosa
4.8,3.3,1.5,0.4,Iris-setosa
4.8,3.3,1.5,0.4,Iris-setosa
4.8,3.3,1.5,0.4,Iris-setosa
4.8,3.3,1.5,0.4,Iris-setosa
6.4,3.2,2.4,1,Iris-versicolor
6.4,3.2,2.4,1,Iris-versicolor
6.4,3.2,2.4,1,Iris-versicolor
6.4,3.2,2.4,1,Iris-versicolor
6.4,3.2,2.4,1,Iris-versicolor
6.4,3.2,2.4,1,Iris-versicolor
6.4,3.2,2.4,1,Iris-versicolor
6.4,3.2,2.4,1,Iris-versicolor
6.4,3.2,2.4,1,Iris-versicolor
6.4,3.2,2.4,1.4,Iris-versicolor
6.4,3.2,2.4,1.4,Iris-versicolor
6.4,3.2,2.4,1.4,Iris-versicolor
6.4,3.2,2.4,1.4,Iris-versicolor
6.4,3.2,2.4,1.4,Iris-versicolor
6.4,3.2,2.4,1.4,Iris-versicolor
6.4,3.2,2.4,1.4,Iris-versicolor
6.4,3.2,2.4,1.4,Iris-versicolor
